,img_name,noise_scale,corr,noise_idx,mat_filename,mat_key
341,imk00165.iml,0.2,0.9900729701976735,1,imk00165.iml.mat,noise_1
342,imk00165.iml,0.5,0.9900532624837188,2,imk00165.iml.mat,noise_2
343,imk00165.iml,0.8,0.9900913360879344,3,imk00165.iml.mat,noise_3
344,imk00165.iml,1.0,0.9900469325932042,4,imk00165.iml.mat,noise_4
345,imk00159.iml,0.1,0.9725054400645391,0,imk00159.iml.mat,noise_0
346,imk00159.iml,0.2,0.9725342119949774,1,imk00159.iml.mat,noise_1
347,imk00159.iml,0.5,0.9726871161250711,2,imk00159.iml.mat,noise_2
348,imk00159.iml,0.8,0.9725148349388556,3,imk00159.iml.mat,noise_3
349,imk00159.iml,1.0,0.9728482926119455,4,imk00159.iml.mat,noise_4
355,imk00366.iml,0.1,0.9940158380664573,0,imk00366.iml.mat,noise_0
356,imk00366.iml,0.2,0.9940307077342317,1,imk00366.iml.mat,noise_1
357,imk00366.iml,0.5,0.9941278927859755,2,imk00366.iml.mat,noise_2
358,imk00366.iml,0.8,0.9941369596831413,3,imk00366.iml.mat,noise_3
359,imk00366.iml,1.0,0.9893927294196974,4,imk00366.iml.mat,noise_4
360,imk00148.iml,0.1,0.9886249160339415,0,imk00148.iml.mat,noise_0
361,imk00148.iml,0.2,0.9888289732055839,1,imk00148.iml.mat,noise_1
362,imk00148.iml,0.5,0.988675116783046,2,imk00148.iml.mat,noise_2
363,imk00148.iml,0.8,0.9887474105530304,3,imk00148.iml.mat,noise_3
364,imk00148.iml,1.0,0.9888688107318933,4,imk00148.iml.mat,noise_4
365,imk00161.iml,0.1,0.9754587213748942,0,imk00161.iml.mat,noise_0
366,imk00161.iml,0.2,0.9749271803105573,1,imk00161.iml.mat,noise_1
367,imk00161.iml,0.5,0.9752489277584109,2,imk00161.iml.mat,noise_2
368,imk00161.iml,0.8,0.9752841205417669,3,imk00161.iml.mat,noise_3
369,imk00161.iml,1.0,0.9753669292646424,4,imk00161.iml.mat,noise_4
370,imk00149.iml,0.1,0.9890518826650002,0,imk00149.iml.mat,noise_0
371,imk00149.iml,0.2,0.989228154112455,1,imk00149.iml.mat,noise_1
372,imk00149.iml,0.5,0.9892204798353177,2,imk00149.iml.mat,noise_2
373,imk00149.iml,0.8,0.9892072223645861,3,imk00149.iml.mat,noise_3
374,imk00149.iml,1.0,0.9889242387507254,4,imk00149.iml.mat,noise_4
375,imk00377.iml,0.1,0.982600884193082,0,imk00377.iml.mat,noise_0
376,imk00377.iml,0.2,0.9901064598669225,1,imk00377.iml.mat,noise_1
377,imk00377.iml,0.5,0.9900591024094358,2,imk00377.iml.mat,noise_2
378,imk00377.iml,0.8,0.990224581175915,3,imk00377.iml.mat,noise_3
379,imk00377.iml,1.0,0.9903005402886097,4,imk00377.iml.mat,noise_4
380,imk00163.iml,0.1,0.9820352484000957,0,imk00163.iml.mat,noise_0
381,imk00163.iml,0.2,0.9817783745221953,1,imk00163.iml.mat,noise_1
382,imk00163.iml,0.5,0.9820091944583325,2,imk00163.iml.mat,noise_2
383,imk00163.iml,0.8,0.9820136036525325,3,imk00163.iml.mat,noise_3
384,imk00163.iml,1.0,0.9821095501476849,4,imk00163.iml.mat,noise_4
385,imk00177.iml,0.1,0.9875252211172845,0,imk00177.iml.mat,noise_0
386,imk00177.iml,0.2,0.9874573092139631,1,imk00177.iml.mat,noise_1
